performer,name
https://www.festivalinfo.nl/artist/95/Basement-Jaxx/,Basement Jaxx
https://www.festivalinfo.nl/artist/40728/Baskerville/,Baskerville
https://www.festivalinfo.nl/artist/285/Bastian/,Bastian
https://www.festivalinfo.nl/artist/72942/Bastille/,Bastille
https://www.festivalinfo.nl/artist/12488/Batmobile/,Batmobile
https://www.festivalinfo.nl/artist/57644/Battle-Beast/,Battle Beast
https://www.festivalinfo.nl/artist/16055/Battles/,Battles
http://www.wikidata.org/entity/Q133190171,Battlesnake
https://www.festivalinfo.nl/artist/135228/Bay-Area-Interthrashional/,Bay Area Interthrashional
https://www.festivalinfo.nl/artist/84591/Bazart/,Bazart
https://www.festivalinfo.nl/artist/41593/Bazzookas/,Bazzookas
https://www.festivalinfo.nl/artist/18640/Beans-USA-/,Beans (USA)
https://www.festivalinfo.nl/artist/74573/Bears-Den/,Bear's Den
https://www.festivalinfo.nl/artist/116394/Beast-In-Black/,Beast In Black
https://www.festivalinfo.nl/artist/71/Beastie-Boys/,Beastie Boys
https://www.festivalinfo.nl/artist/22143/Beatcream/,Beatcream
https://www.festivalinfo.nl/artist/165838/Beatmasters/,Beatmasters
https://www.festivalinfo.nl/artist/98922/Beatrice-Dillon/,Beatrice Dillon
https://www.festivalinfo.nl/artist/435/Beatsteaks/,Beatsteaks
https://www.festivalinfo.nl/artist/123/Beck/,Beck
https://www.festivalinfo.nl/artist/60/Beef/,Beef
https://www.festivalinfo.nl/artist/26906/Beirut/,Beirut
https://www.festivalinfo.nl/artist/136661/Ben-Bertrand/,Ben Bertrand
https://www.festivalinfo.nl/artist/25256/Ben-Frost/,Ben Frost
https://www.festivalinfo.nl/artist/18670/Ben-Harper/,Ben Harper
https://www.festivalinfo.nl/artist/46106/Ben-Howard/,Ben Howard
https://www.festivalinfo.nl/artist/51465/Ben-LOncle-Soul/,Ben L'Oncle Soul
https://www.festivalinfo.nl/artist/54465/Ben-UFO/,Ben UFO
https://www.festivalinfo.nl/artist/137669/Benjamin-Abel-The-Unrequired-Love/,Benjamin Abel & The Unrequired Love
https://www.festivalinfo.nl/artist/132533/Benjamin-Britten/,Benjamin Britten
https://www.festivalinfo.nl/artist/81275/Benjamin-Clementine/,Benjamin Clementine
https://www.festivalinfo.nl/artist/6550/Benjamin-Herman/,Benjamin Herman
https://www.festivalinfo.nl/artist/10411/Benny-Rodrigues/,Benny Rodrigues
https://www.festivalinfo.nl/artist/7837/Benny-Sings/,Benny Sings
https://www.festivalinfo.nl/artist/86812/Bente/,Bente
https://www.festivalinfo.nl/artist/39542/Bertolf/,Bertolf
https://www.festivalinfo.nl/artist/8986/Beth-Hart/,Beth Hart
https://www.festivalinfo.nl/artist/717/Bettie-Serveert/,Bettie Serveert
https://www.festivalinfo.nl/artist/102490/BetweenMusic/,BetweenMusic
https://www.festivalinfo.nl/artist/23808/Biffy-Clyro/,Biffy Clyro
https://www.festivalinfo.nl/artist/25231/Big-Business/,Big Business
https://www.festivalinfo.nl/artist/149895/Big-Special/,Big Special
https://www.festivalinfo.nl/artist/105841/Big-Thief/,Big Thief
https://www.festivalinfo.nl/artist/191/Bilal/,Bilal
https://www.festivalinfo.nl/artist/69255/Bill-Orcutt/,Bill Orcutt
https://www.festivalinfo.nl/artist/1888/Billy-Bragg/,Billy Bragg
https://www.festivalinfo.nl/artist/7401/Billy-Talent/,Billy Talent
https://www.festivalinfo.nl/artist/89805/Binkbeats/,Binkbeats
https://www.festivalinfo.nl/artist/197/Biohazard/,Biohazard
https://www.festivalinfo.nl/artist/12109/Biosphere/,Biosphere
https://www.festivalinfo.nl/artist/65985/Birds-In-Row/,Birds In Row
https://www.festivalinfo.nl/artist/198/Birgit-Schuurman/,Birgit Schuurman
https://www.festivalinfo.nl/artist/35669/Birth-of-Joy/,Birth of Joy
https://www.festivalinfo.nl/artist/139082/Bitchin-Bajas/,Bitchin Bajas
https://www.festivalinfo.nl/artist/1470/Bjorn-Again/,Björn Again
https://www.festivalinfo.nl/artist/32694/Blaas-Of-Glory/,Blaas Of Glory
